author_id,username,created_at,verified,followers,following,tweet_count,listed_count,cant_tweets_muestra,rt,vreplicas,likes,rtquotes,menciones_a_In,menciones_a_Out,menciones_de_In,rt_a_In,rt_a_Out,rt_de_In,rp_a_In,rp_a_Out,rp_de_In,rq_a_In,rq_a_Out,rq_de_In,Actividad,pred,prob0,prob1
778596536,mrqm74,2012-08-24T17:10:04.000Z,False,323,1007,4067,1,594,29383,317,1507,1,41,98,26,1,6,0,39,60,24,3,29,0,327,1,0.17532467532467533,0.82467532467532467
783363942,Patryzb19,2012-08-26T23:12:14.000Z,False,140,203,548,1,3,197,0,1,0,1,3,0,1,1,0,0,1,0,0,0,0,7,1,0.4369523605621749,0.5630476394378251
785184092,mvindasp,2012-08-27T18:06:45.000Z,False,58,188,481,0,22,2039,0,5,0,3,13,0,2,11,0,0,3,0,0,0,0,32,1,7.0902629708599854E-2,0.92909737029140005
787814220,patriotni10,2012-08-28T20:43:40.000Z,False,283,92,60640,7,1003,533785,460,784,87,1,113,1,1,58,1,1,34,1,1,86,2,300,1,0,1
788140748,casasolag,2012-08-29T00:07:41.000Z,False,4268,1861,32421,22,1123,1201166,799,9132,107,62,269,175,27,123,64,40,107,89,19,85,16,1076,1,0,1
788313654,privindas22,2012-08-29T02:10:21.000Z,False,4517,914,18499,19,581,819855,241,6894,56,19,184,0,11,125,48,9,54,20,4,40,8,522,1,0,1
791529019,anmub,2012-08-30T12:47:10.000Z,False,383,0,2012,0,104,81852,29,46,0,19,66,5,5,23,0,13,19,5,2,4,0,161,1,0.10000000000000001,0.90000000000000002
794240540,fiorella2698,2012-08-31T16:48:19.000Z,False,3101,296,149390,6,1657,490693,443,4028,102,30,187,58,22,120,46,16,67,20,19,86,11,682,1,0,1
795321631,lazompopa,2012-09-01T04:35:07.000Z,False,321,459,6911,4,412,399,168,1514,11,14,74,17,2,4,7,15,46,10,2,12,2,205,1,0,1
796553438,bichigyalli,2012-09-01T17:48:26.000Z,False,502,511,5209,0,252,563640,97,1891,12,5,104,2,5,68,2,2,36,2,2,9,0,237,1,0.29999999999999999,0.69999999999999996
798697298,caridadsamudiod,2012-09-02T17:25:24.000Z,False,109,1335,2584,0,185,108379,21,75,1,4,161,1,1,13,0,4,98,1,1,6,0,290,1,7.5324675324675322E-2,0.92467532467532476
801473084,karolsm_cr,2012-09-04T00:01:25.000Z,False,385,608,4566,5,127,86815,42,68,0,27,45,19,8,16,0,20,23,19,0,2,0,179,1,0.10000000000000001,0.90000000000000002
90688847,ansalasram,2009-11-17T18:35:28.000Z,False,850,1905,12965,4,37,63047,14,31,1,5,23,3,1,9,0,3,10,2,0,1,0,57,1,7.5324675324675322E-2,0.92467532467532476
91208154,mgtrez,2009-11-19T22:25:27.000Z,False,147,596,2204,1,346,125137,49,290,2,27,89,6,11,33,0,14,42,6,5,24,1,258,1,0.10000000000000001,0.90000000000000002
91442429,osksome,2009-11-20T22:40:48.000Z,False,1331,282,17426,10,229,407952,72,3292,17,6,81,27,1,32,21,6,35,6,1,13,1,230,1,0,1
91813268,allosa01,2009-11-22T15:55:14.000Z,False,145,999,27846,1,947,310745,0,1,0,7,198,0,6,160,0,0,10,0,0,0,0,381,1,7.5324675324675322E-2,0.92467532467532476
91829615,palbarjh,2009-11-22T17:28:32.000Z,False,3859,1993,103369,49,1948,1782,1887,7120,82,110,208,151,4,6,61,101,150,103,11,34,21,960,1,0,1
91938459,joshilo,2009-11-23T04:46:01.000Z,False,156,141,3042,2,47,87733,20,30,0,5,21,3,0,2,0,4,14,3,0,3,0,55,1,0,1
92402258,Amalia15,2009-11-25T00:02:33.000Z,False,119,621,5531,1,13,766,2,5,0,1,3,0,1,1,0,0,2,0,0,3,0,11,1,0.4369523605621749,0.5630476394378251
92645371,dieg_cr,2009-11-26T00:15:45.000Z,False,501,516,5288,3,141,25324,32,206,13,9,25,4,3,10,2,4,8,4,4,16,5,94,1,0.20000000000000001,0.80000000000000004
92784921,DixsonA,2009-11-26T16:22:35.000Z,False,302,305,22954,11,23,3457,0,8,0,1,2,0,1,2,0,0,0,0,0,1,0,7,1,0.4369523605621749,0.5630476394378251
93109232,varo2114,2009-11-28T03:21:08.000Z,False,1253,432,10695,4,91,40659,16,229,0,6,30,5,3,16,3,2,6,1,1,4,0,77,1,0,1
452318908,JohanMoralesM1,2012-01-01T18:05:50.000Z,False,31,345,7,0,2,4,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,4,1,0.4369523605621749,0.5630476394378251
453138146,ACarbaja,2012-01-02T16:33:15.000Z,False,377,189,5959,0,139,66619,31,185,3,1,21,0,1,14,0,0,9,0,0,7,0,53,1,0.4369523605621749,0.5630476394378251
453375362,pri_solorzano,2012-01-02T21:25:48.000Z,False,728,448,13844,0,127,9846,38,203,0,2,36,0,1,17,0,0,16,0,0,22,0,94,1,0.4369523605621749,0.5630476394378251
453496862,jeremy9812,2012-01-03T00:14:39.000Z,False,172,948,1384,0,106,1086272,2,21,1,4,85,0,5,60,0,1,22,0,0,2,0,179,1,0.40784339251730561,0.5921566074826945
454514851,JJosueGP,2012-01-04T02:39:55.000Z,False,79,768,2099,0,73,30943,12,62,0,2,28,0,2,15,0,1,6,0,1,10,0,65,1,0,1
454646669,AlpizarRandall,2012-01-04T06:49:51.000Z,False,261,1508,3000,2,12,94945,1,11,0,1,8,0,1,4,0,1,4,0,0,2,0,21,1,0,1
454988129,luchemix87,2012-01-04T16:21:47.000Z,False,94,388,2080,0,43,21874,9,6,0,6,33,1,2,16,0,1,8,1,0,1,0,69,1,0,1
455252542,madelosar78,2012-01-04T22:23:44.000Z,False,123,380,699,0,82,634,13,70,0,15,53,3,5,9,1,8,23,2,1,5,0,125,1,0,1
455282677,yesvari,2012-01-04T23:10:16.000Z,False,248,697,1019,1,81,2948,22,61,6,22,54,5,5,9,1,12,21,4,1,3,2,139,1,0,1
455380914,ludicarco,2012-01-05T01:50:04.000Z,False,143,479,950,0,160,583,42,76,10,22,98,9,2,15,2,13,56,6,3,6,2,234,1,0.20000000000000001,0.80000000000000004
455411424,olgerpereyra,2012-01-05T02:45:14.000Z,False,1525,1442,37057,16,256,57050,17,88,2,5,47,0,5,39,1,1,4,2,0,1,1,106,1,0.24634259259259261,0.7536574074074075
456153994,katty_na,2012-01-05T23:00:24.000Z,False,1624,2329,20738,1,2162,762062,1651,9054,133,99,355,171,5,113,50,86,139,132,20,159,29,1358,1,0,1
457195774,A_Metropolitano,2012-01-07T04:07:07.000Z,False,101,45,1258,0,5,9,0,12,1,0,1,2,0,1,2,0,1,0,0,0,0,7,1,0.25250477968392315,0.74749522031607685
458755731,UranRigoberto,2012-01-08T22:32:29.000Z,True,1446390,80,4156,2150,25,19282,7819,343797,1917,0,4,9,0,0,3,0,0,4,0,0,4,24,1,8.3573487031700283E-2,0.91642651296829969
460548763,kandresrh3101,2012-01-10T21:45:22.000Z,False,61,246,972,0,30,850,4,25,0,3,10,3,1,4,1,3,5,2,1,7,0,40,1,0,1
464663581,joraguil74,2012-01-15T13:56:57.000Z,False,37,436,728,0,29,703,2,30,0,3,14,0,0,1,0,2,7,0,0,0,0,27,1,0,1
465112982,bvillaltacr,2012-01-16T00:10:13.000Z,False,986,1131,29765,13,764,389946,196,1294,9,42,181,0,13,50,7,31,102,16,19,84,4,549,1,0,1
467113711,AndreaMeza76,2012-01-18T04:02:44.000Z,True,6490,1453,3783,54,201,13015,47,1478,23,14,147,42,5,77,16,1,15,3,2,18,6,346,1,0.10000000000000001,0.90000000000000002
467672697,GuachipelinCR,2012-01-18T18:34:06.000Z,False,1765,1072,2537,45,3,6,0,2,0,2,1,1,2,0,0,1,0,0,0,0,0,7,1,0,1
467723141,AllenBlanco1,2012-01-18T19:39:55.000Z,False,28,51,88,0,5,184,0,0,0,1,5,0,1,3,0,0,1,0,0,0,0,11,1,0.4369523605621749,0.5630476394378251
755913597679640576,elgelado,2016-07-20T23:53:40.000Z,False,717,1495,11216,0,449,2866629,113,515,4,14,197,13,7,193,5,6,16,8,0,45,0,504,1,0,1
2340498111,feljose_18,2014-02-13T03:16:05.000Z,False,84,306,8905,3,274,194191,3,21,0,13,105,0,10,83,0,2,17,0,0,0,0,230,1,0,1
2356872446,alfred_mdz,2014-02-22T20:16:45.000Z,False,175,873,22582,6,433,178740,40,92,3,13,61,0,7,40,1,4,20,1,12,33,0,192,1,0,1
2365810038,osnaca2,2014-02-28T16:05:09.000Z,False,21,71,251,0,29,30,0,3,0,1,31,0,1,4,0,0,19,0,0,0,0,56,1,0.4369523605621749,0.5630476394378251
2384191307,Natt7SA,2014-03-05T03:24:55.000Z,False,230,844,10305,10,69,63099,18,32,0,1,29,0,1,23,0,0,10,0,0,1,0,65,1,0.4369523605621749,0.5630476394378251
2425593376,instantepasado,2014-03-20T21:50:26.000Z,False,2401,419,31690,64,883,76870,611,4011,58,77,279,99,10,56,56,56,153,52,12,62,9,921,1,0,1
2432899350,AndreaAzofeifaR,2014-04-08T02:23:58.000Z,False,110,1364,1574,4,26,3052,5,15,0,4,13,1,1,7,0,4,3,1,0,5,0,39,1,7.5324675324675322E-2,0.92467532467532476
2453691239,caelcr,2014-04-02T00:53:51.000Z,False,186,1586,7922,2,269,35221,65,229,0,50,123,12,8,19,0,38,60,10,3,6,0,329,1,0.10000000000000001,0.90000000000000002
2483981978,carlitoszuper,2014-05-08T15:53:48.000Z,False,2640,3387,40362,4,1987,5757,1425,5413,66,118,181,0,21,19,11,112,132,112,26,29,20,781,1,0,1
2500609820,buakawzepeda,2014-05-17T04:42:49.000Z,False,93,1784,297,0,71,238335,3,23,0,4,27,0,5,20,0,0,6,0,1,2,0,65,1,0.19615800865800864,0.80384199134199152
2517266619,stephobando,2014-04-29T17:54:28.000Z,False,80,195,3032,0,37,33537,8,53,3,1,14,6,0,12,6,1,1,1,0,1,0,43,1,0.10000000000000001,0.90000000000000002
2518423038,GrAnthonny,2014-05-23T18:36:06.000Z,False,622,644,5876,3,34,213,11,76,0,3,17,3,1,8,1,2,8,0,0,3,0,46,1,0,1
2684759662,joselinecambro1,2014-07-07T21:51:35.000Z,False,98,174,304,0,27,5617,7,29,0,1,8,0,1,6,0,0,3,0,0,2,0,21,1,0.4369523605621749,0.5630476394378251
2731774333,jmlfonsecas,2014-08-14T13:46:49.000Z,False,73,554,2333,2,7,5,0,0,0,2,4,0,1,1,0,0,3,0,1,0,0,12,1,0.4369523605621749,0.5630476394378251
2733288590,Giovachajo,2014-08-15T01:22:11.000Z,False,435,1034,26318,3,460,1002230,63,368,5,27,169,12,11,88,2,11,59,11,4,18,2,414,1,0,1
2774677761,jesisiri,2014-09-18T16:02:04.000Z,False,3631,800,80537,18,914,2293866,298,2559,14,46,208,36,32,179,6,20,36,30,5,27,5,630,1,0,1
2793240117,julio_sch27,2014-09-30T01:08:47.000Z,False,335,382,70072,1,8174,34198382,328,1781,29,237,3005,29,235,2946,6,33,93,18,21,101,7,6731,1,0.10000000000000001,0.90000000000000002
2803992026,kennethpv1,2014-09-11T16:51:29.000Z,False,175,141,4740,2,480,34,286,1143,13,35,284,15,0,0,0,24,169,15,0,5,0,547,1,0,1
2808775507,GabazzoneEnrico,2014-09-14T04:43:00.000Z,False,579,338,31442,3,507,3014,154,560,3,57,156,28,2,22,2,49,103,23,0,0,0,442,1,0.20000000000000001,0.80000000000000004
240083011,M4XRodri,2011-01-19T03:28:55.000Z,False,2075,4994,65157,33,566,932561,128,278,9,73,253,30,30,173,3,41,47,26,5,53,1,735,1,0,1
240767613,LicopenoDesign,2011-01-20T18:04:19.000Z,False,306,823,555,5,4,779,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,3,1,0.4369523605621749,0.5630476394378251
241346785,PabloJarkim,2011-01-22T01:45:00.000Z,False,110,269,2664,1,74,13,20,15,1,2,15,0,1,0,0,1,9,0,1,1,0,30,1,0,1
241403802,UgFabio,2011-01-22T05:04:02.000Z,False,65,219,336,2,14,0,3,12,0,4,6,1,0,0,0,4,3,1,0,0,0,19,1,0,1
242376045,RoVeO5,2011-01-24T16:56:08.000Z,False,1549,2112,7634,4,63,4603,18,338,2,5,15,7,1,2,2,4,9,5,0,0,1,51,1,0,1
243350274,jfiatt,2011-01-26T21:20:29.000Z,False,341,561,5633,0,50,159429,11,23,1,4,28,2,3,14,1,1,10,1,1,7,0,72,1,0.10000000000000001,0.90000000000000002
246873822,kennethvieto,2011-02-03T16:57:51.000Z,False,110,941,4429,0,163,7113,19,70,0,18,82,2,4,28,0,10,44,2,0,0,0,190,1,0.10000000000000001,0.90000000000000002
246874445,brlzng,2011-02-03T16:59:20.000Z,False,3947,532,30197,0,1912,451530,1087,12069,124,42,226,82,3,41,35,38,133,51,7,132,24,814,1,0,1
247544168,alee_zm1,2011-02-05T01:11:47.000Z,False,717,370,22258,1,109,492810,13,85,0,5,29,4,2,26,2,3,3,3,1,11,0,89,1,0.20000000000000001,0.80000000000000004
247933075,iobandom,2011-02-05T22:02:18.000Z,False,262,1031,470,1,53,29,11,46,0,7,24,1,1,0,0,5,22,1,2,8,0,71,1,7.5324675324675322E-2,0.92467532467532476
249067906,todomotorsv,2011-02-08T08:53:38.000Z,False,12397,551,33921,39,814,5598,797,8713,453,0,119,4,0,69,2,0,12,3,0,4,1,214,1,0.25250477968392315,0.74749522031607685
249149294,theanatronfc,2011-02-08T13:37:21.000Z,False,1078,401,6175,14,190,8926,42,247,3,7,128,1,2,34,0,3,36,1,1,34,0,247,1,7.5324675324675322E-2,0.92467532467532476
249190007,jorge__ec94,2011-02-08T15:23:20.000Z,False,310,943,6758,4,7,0,5,1,0,2,3,0,0,0,0,2,2,1,0,0,0,10,1,0,1
249308701,obedraudales,2011-02-08T19:54:02.000Z,False,102,298,6473,0,135,15211,19,2,0,2,24,1,0,16,0,2,6,1,0,1,0,53,1,0,1
1532104274,daviiidez,2013-06-19T21:53:55.000Z,False,9393,811,84275,23,1460,782211,413,10935,124,75,310,138,38,197,101,39,95,49,36,163,21,1262,1,0,1
1532587320,magpie_jay,2013-06-20T02:42:43.000Z,False,1365,34,1295,2,4,2,0,22,0,0,0,1,1,0,0,0,0,0,0,3,0,5,1,0.4369523605621749,0.5630476394378251
1537562202,rociomoram29,2013-06-22T00:05:35.000Z,False,3923,4017,125526,13,5707,357788,3360,21475,156,205,521,227,123,290,46,134,230,177,56,138,33,2180,1,0.10000000000000001,0.90000000000000002
1537880148,AztecaTours,2013-06-22T04:11:42.000Z,False,301,368,4876,22,66,921,0,0,0,1,26,0,1,20,0,0,0,0,0,0,0,48,1,0.4369523605621749,0.5630476394378251
1544703487,Diegodo5319,2013-06-25T03:20:21.000Z,False,605,840,29645,4,1224,143652,106,628,5,10,317,6,7,203,1,2,75,4,0,42,0,667,1,0.10000000000000001,0.90000000000000002
1545941040,stayah22,2013-06-25T15:08:01.000Z,False,3016,239,6802,0,128,26367,53,1123,9,1,37,9,1,5,7,3,31,1,2,5,0,102,1,0,1
1552062224,aumanat,2013-06-28T02:58:39.000Z,False,178,288,5703,1,46,5,3,69,0,5,11,2,1,0,2,2,2,1,0,0,0,26,1,8.5925925925925933E-2,0.91407407407407404
1553278998,tatitattoed,2013-06-28T15:03:24.000Z,False,208,1031,1156,0,100,18102,22,181,4,9,46,3,4,16,1,4,20,2,2,11,1,119,1,0,1
1553286444,LindaWestonpdx,2013-06-28T15:06:46.000Z,False,1719,1215,43833,172,3184,10271549,300,7141,10,1,1444,0,1,680,0,0,458,0,0,139,0,2723,1,0.4369523605621749,0.5630476394378251
1553570204,arias_manfred,2013-06-28T17:04:08.000Z,False,64,262,1101,1,3,0,0,2,0,2,1,0,0,0,0,2,1,0,0,0,0,6,1,0,1
1554630661,dirty_953,2013-06-29T03:07:39.000Z,False,186,311,8659,0,241,862138,48,592,6,5,73,0,5,61,3,0,22,0,1,18,2,190,1,0.16041666666666665,0.83958333333333335
1556452262,CastilloJeysone,2013-06-29T20:13:56.000Z,False,83,782,1228,0,204,153100,51,175,0,28,114,1,7,23,0,15,69,1,1,12,0,271,1,0.10000000000000001,0.90000000000000002
2977042131,JKHillCDA,2015-01-13T20:36:15.000Z,False,1859,927,1545,34,24,26504,8,311,8,2,24,4,0,4,4,1,1,1,0,2,1,44,1,0.10000000000000001,0.90000000000000002
516985302,ChristBrenes,2012-03-06T23:10:27.000Z,False,400,2270,13740,0,268,39307,11,79,0,2,50,0,0,9,0,2,10,0,0,0,0,73,1,0,1
518159314,g_moragui,2012-03-08T03:22:11.000Z,False,817,997,4678,0,272,140646,81,1460,26,21,62,21,1,18,9,20,40,10,4,32,9,247,1,0,1
518243782,juamurqu76,2012-03-08T06:07:09.000Z,False,186,873,304,1,13,0,9,20,0,3,3,8,0,0,0,2,2,3,0,0,0,21,1,0,1
518895236,eulloa43,2012-03-08T21:29:02.000Z,False,130,557,4186,2,89,1703473,1,4,0,8,75,0,7,64,0,0,3,0,0,0,0,157,1,7.5324675324675322E-2,0.92467532467532476
531592313,pcb2085,2012-03-20T20:02:00.000Z,False,149,451,5852,3,84,3138,14,64,1,15,57,4,0,6,1,13,28,4,1,0,0,129,1,0,1
537789213,gabycampos24,2012-03-27T00:44:18.000Z,False,5703,791,19229,14,1610,30811,1866,9661,49,98,312,130,7,48,25,80,199,100,20,55,14,1088,1,0,1
539283058,nerafurbina,2012-03-28T18:41:36.000Z,False,271,848,11140,4,248,74386,78,169,2,21,78,7,7,28,0,11,35,6,1,17,0,211,1,0.10000000000000001,0.90000000000000002
542907687,geraeliramz,2012-04-01T20:20:15.000Z,False,189,1388,2977,1,158,27655,23,433,0,24,55,6,5,15,0,17,36,6,0,0,0,164,1,0.10000000000000001,0.90000000000000002
546945296,aguilar_a05,2012-04-06T16:49:47.000Z,False,675,471,9952,7,135,50670,19,310,6,2,15,3,1,8,2,2,7,2,0,4,1,47,1,8.5925925925925933E-2,0.91407407407407404
547269260,strejosz,2012-04-07T02:56:47.000Z,False,541,190,22200,10,473,372301,102,1035,35,34,126,31,25,91,17,6,17,12,12,33,10,414,1,0,1
564076220,MaUlloa14,2012-04-26T22:04:12.000Z,False,328,536,2187,0,33,45834,10,58,0,3,22,0,1,13,0,0,4,0,0,2,0,45,1,0.4369523605621749,0.5630476394378251
