id_user,created_at,username,verified,followers,following,tweet_count,listed_count,cant_tweets_muestra,rt,vreplicas,likes,rtquotes
1357168077285302276,2021-02-04T03:24:41.000Z,libelula_poeta,False,34,30,168,0,5,9,2,23,1
1063636160298270725,2018-11-17T03:33:16.000Z,maritereluga,False,26,167,356,0,4,0,0,2,0
1123606548918435846,2019-05-01T15:14:11.000Z,a_julio3,False,393,370,3416,0,729,34,324,1781,22
811785318110232580,2016-12-22T04:07:56.000Z,Gomez_alexa15,False,115,125,213,0,69,3,10,59,2
536376479,2012-03-25T15:00:19.000Z,mabelcuev,False,222,718,2543,0,2,0,0,1,0
196273064,2010-09-28T18:52:28.000Z,majuosuna,False,130,734,719,0,2,0,1,4,0
820523077,2012-09-12T23:24:33.000Z,CynthiaOverall,False,29,151,361,0,1,0,0,0,0
331151128,2011-07-07T18:37:00.000Z,selv_pin91,False,209,662,6263,0,5,0,2,10,0
441165088,2011-12-19T20:18:36.000Z,Dannygzx_,False,115,474,723,0,9,0,1,0,0
389702235,2011-10-12T21:24:57.000Z,Kenitoo5,False,69,306,2760,0,1,0,0,1,0
271640459,2011-03-24T22:35:11.000Z,Beatriz_Ixcot,False,463,597,28383,2,1,0,0,0,0
1222548208594886656,2020-01-29T15:53:10.000Z,willysodi,False,20,132,114,0,2,0,0,0,0
1436414950109589508,2021-09-10T19:43:23.000Z,DeVaqueras,False,34,764,38,0,24,0,0,0,0
1308540800,2013-03-27T20:31:33.000Z,siloecamacho,False,1156,610,25432,0,1,0,0,14,0
1730270408,2013-09-05T00:06:26.000Z,cconstremf,False,158,284,3800,0,134,4,42,64,0
1219855498134065152,2020-01-22T05:33:19.000Z,ymdpps,False,248,122,3944,0,75,5,25,106,3
814173561988542468,2016-12-28T18:17:58.000Z,ronyesquivel90,False,89,434,1537,0,111,1,21,26,0
2912344796,2014-11-28T03:13:57.000Z,huesostrada,False,200,488,3563,0,319,19,205,438,5
1123339714763816960,2019-04-30T21:33:53.000Z,Quiquemendez17,False,17,35,1720,0,707,34,20,459,0
1333938968241582085,2020-12-02T01:00:57.000Z,Mishi_sama,False,3,20,8,0,3,0,0,2,0
1360205110312321025,2021-02-12T12:33:03.000Z,JMarioC426,False,57,159,45,0,7,0,3,5,0
353060687,2011-08-11T13:59:20.000Z,MariaXimena__,False,541,126,26852,1,1,0,0,1,0
28828136,2009-04-04T17:02:13.000Z,Suceth,False,332,1024,10622,0,109,7,19,106,1
141730358,2010-05-08T21:54:44.000Z,DJTARA_GT,False,1055,1742,14593,2,225,9,2,33,2
1256609915361206279,2020-05-02T15:42:27.000Z,jaimedionicio50,False,19,235,266,0,2,0,1,2,0
1226242712250339328,2020-02-08T20:33:56.000Z,Aguilar_199888,False,141,163,345,0,29,7,16,41,0
780458011,2012-08-25T14:48:59.000Z,manusalazar33,False,105,581,4251,1,3,0,2,2,0
122555692,2010-03-13T03:30:52.000Z,cruzy2010,False,32,439,443,0,1,0,0,0,0
2796409176,2014-09-07T18:45:14.000Z,espaciolanudo_,False,497,37,13328,13,24,4,9,14,0
1566619374,2013-07-03T20:39:27.000Z,AntoineScience,False,4362,1069,23510,19,1,0,0,0,0
380456116,2011-09-26T17:42:14.000Z,XiosmerPineda,False,305,218,6021,6,2,0,0,0,0
243408473,2011-01-27T00:03:13.000Z,densetsuii,False,7531,7421,113132,6,3275,558,1688,6881,59
1131677245012140032,2019-05-23T21:44:15.000Z,Nathalymarro,False,35,79,2304,0,17,0,0,2,0
