author_id,username,created_at,verified,followers,following,tweet_count,listed_count,cant_tweets_muestra,rt,vreplicas,likes,rtquotes,menciones_a_In,menciones_a_Out,menciones_de_In,rt_a_In,rt_a_Out,rt_de_In,rp_a_In,rp_a_Out,rp_de_In,rq_a_In,rq_a_Out,rq_de_In,Actividad,pred,prob0,prob1
239175642,NicolasHauff,2011-01-17T00:48:59.000Z,False,2560,823,7528,91,42,6273,1,23,1,0,21,0,0,1,0,0,3,0,0,1,0,26,0,0.62091816021361301,0.37908183978638682
239216685,Ronald_Sterkel,2011-01-17T03:13:07.000Z,False,54,337,582,0,5,0,0,0,0,0,5,0,0,0,0,0,4,0,0,0,0,9,0,0.62091816021361301,0.37908183978638682
239516097,kevimj91,2011-01-17T20:15:59.000Z,False,543,809,41422,7,64,4619,14,10,0,3,9,2,1,4,0,2,4,2,2,0,0,29,0,0.53657527657527671,0.46342472342472352
239847915,dobcomedy,2011-01-18T15:31:19.000Z,False,2637,1143,10273,32,300,16,5,32,6,0,22,0,0,3,0,0,0,0,0,0,0,25,0,0.62091816021361301,0.37908183978638682
239995523,svenssevens,2011-01-18T22:47:22.000Z,False,95,428,901,1,9,0,0,11,0,0,12,0,0,0,0,0,7,0,0,0,0,19,0,0.62091816021361301,0.37908183978638682
240083011,M4XRodri,2011-01-19T03:28:55.000Z,False,2075,4994,65157,33,566,932561,128,278,9,73,253,30,30,173,3,41,47,26,5,53,1,735,1,0,1
240240535,AlvaritoCostoya,2011-01-19T13:36:15.000Z,False,499,1409,13895,5,82,52867,22,173,0,0,63,0,0,23,0,0,17,0,0,12,0,115,0,0.62091816021361301,0.37908183978638682
240767613,LicopenoDesign,2011-01-20T18:04:19.000Z,False,306,823,555,5,4,779,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,3,1,0.4369523605621749,0.5630476394378251
241337779,RamonDeLaGala,2011-01-22T01:13:28.000Z,False,1327,568,6660,11,205,8922,114,513,20,1,94,3,0,20,0,1,25,0,0,46,0,190,0,0.58473123758703316,0.4152687624129669
241346785,PabloJarkim,2011-01-22T01:45:00.000Z,False,110,269,2664,1,74,13,20,15,1,2,15,0,1,0,0,1,9,0,1,1,0,30,1,0,1
241403802,UgFabio,2011-01-22T05:04:02.000Z,False,65,219,336,2,14,0,3,12,0,4,6,1,0,0,0,4,3,1,0,0,0,19,1,0,1
241749210,ConPenajena,2011-01-23T01:55:05.000Z,False,673,860,12808,1,703,99072,373,1225,15,0,106,0,0,40,0,0,55,0,0,79,0,280,0,0.62091816021361301,0.37908183978638682
241928832,Danseisauna,2011-01-23T14:07:09.000Z,False,8963,673,2882,21,105,110,28,805,5,0,3,0,0,0,0,0,2,0,0,0,0,5,0,0.62091816021361301,0.37908183978638682
242166831,erichherrera,2011-01-24T03:22:16.000Z,False,119,728,609,3,23,5859,2,9,0,0,20,0,0,12,0,0,5,0,0,0,0,37,0,0.62091816021361301,0.37908183978638682
242376045,RoVeO5,2011-01-24T16:56:08.000Z,False,1549,2112,7634,4,63,4603,18,338,2,5,15,7,1,2,2,4,9,5,0,0,1,51,1,0,1
242430282,anita_bell,2011-01-24T19:30:14.000Z,False,174,441,1684,2,2,4,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2,0,0.62091816021361301,0.37908183978638682
