author_id,username,created_at,verified,followers,following,tweet_count,listed_count,cant_tweets_muestra,rt,vreplicas,likes,rtquotes,menciones_a_In,menciones_a_Out,menciones_de_In,rt_a_In,rt_a_Out,rt_de_In,rp_a_In,rp_a_Out,rp_de_In,rq_a_In,rq_a_Out,rq_de_In,Actividad,pred,prob0,prob1
283216787,JimmyBadBoy507,2011-04-16T20:50:21.000Z,False,5844,475,24881,30,16,1,0,6,0,0,1,0,0,1,0,0,0,0,0,0,0,2,0,0.55197910356978674,0.44802089643021326
283388728,CarlosPRDX,2011-04-17T05:51:55.000Z,False,50,134,695,4,4,11955,1,1,0,0,1,0,0,2,0,0,1,0,0,0,0,4,0,0.55197910356978674,0.44802089643021326
283756475,Eduaar_do,2011-04-17T23:47:59.000Z,False,354,786,5066,2,15,0,0,2,0,0,8,0,0,0,0,0,6,0,0,0,0,14,0,0.55197910356978674,0.44802089643021326
284138571,alvarezkaren29,2011-04-18T18:07:14.000Z,False,92,238,300,0,6,14569,0,0,0,0,4,0,0,2,0,0,2,0,0,0,0,8,0,0.55197910356978674,0.44802089643021326
284321503,AleCaldera_,2011-04-19T02:24:40.000Z,False,561,740,32662,0,354,591119,81,180,2,9,167,0,13,173,0,0,16,0,1,16,0,395,1,0.39503302569356824,0.60496697430643176
284583361,El_Moncada95,2011-04-19T15:17:37.000Z,False,181,254,2811,0,163,45348,42,163,4,1,31,1,0,19,1,1,11,1,0,15,0,81,0,0.55197910356978674,0.44802089643021326
284810798,stephehern,2011-04-20T00:53:50.000Z,False,756,373,71227,1,126,256844,35,175,0,3,37,2,3,34,0,2,4,2,0,0,0,87,0,0.55197910356978674,0.44802089643021326
285298384,profesor_scott,2011-04-20T22:17:19.000Z,False,156,522,546,0,16,12,0,2,0,0,9,0,0,1,0,0,6,0,0,0,0,16,0,0.55197910356978674,0.44802089643021326
285376711,ErnyxJ,2011-04-21T01:43:05.000Z,False,480,858,17784,3,619,1817170,111,307,4,7,157,8,5,144,1,6,24,7,2,23,0,384,1,0,1
285384900,braulioamadis,2011-04-21T02:03:58.000Z,False,1098,3175,2200,1,10,2341,2,0,0,0,15,0,0,6,0,0,2,0,0,1,0,24,0,0.55197910356978674,0.44802089643021326
285983681,12handal,2011-04-22T04:11:29.000Z,False,374,854,13415,3,182,49128,58,189,1,0,45,0,0,18,0,0,21,0,0,7,0,91,0,0.55197910356978674,0.44802089643021326
