author_id,username,created_at,verified,followers,following,tweet_count,listed_count,cant_tweets_muestra,rt,vreplicas,likes,rtquotes,menciones_a_In,menciones_a_Out,menciones_de_In,rt_a_In,rt_a_Out,rt_de_In,rp_a_In,rp_a_Out,rp_de_In,rq_a_In,rq_a_Out,rq_de_In,Actividad,paisSN
239216685,Ronald_Sterkel,2011-01-17T03:13:07.000Z,False,54,337,582,0,5,0,0,0,0,0,5,0,0,0,0,0,4,0,0,0,0,9,1
241403802,UgFabio,2011-01-22T05:04:02.000Z,False,65,219,336,2,14,0,3,12,0,4,6,1,0,0,0,4,3,1,0,0,0,19,1
247075946,YSLGSL,2011-02-04T01:32:51.000Z,False,2899,176,67235,0,204,1083100,9,113,19,0,82,0,0,84,0,0,10,0,0,3,0,179,0
2327295104,Johasacaquirin,2014-02-04T15:29:34.000Z,False,27,272,109,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2347541930,vivo1982,2014-02-16T22:48:30.000Z,False,561,551,32332,6,1289,26056,436,1428,25,121,266,67,39,96,7,92,136,58,9,48,9,948,1
2357725089,AndreySerrano5,2014-02-22T02:20:35.000Z,False,694,1404,1231,2,32,601,5,39,1,3,9,1,2,3,0,1,6,1,2,4,0,32,1
296355431,ferlin_fuentes,2011-05-10T16:31:35.000Z,False,20162,1904,52872,58,1348,13617,2407,40443,421,76,213,224,35,91,67,32,85,143,11,44,63,1084,1
299934602,sertony_dg,2011-05-16T22:45:38.000Z,False,468,459,873,0,20,45925,0,0,0,6,13,0,5,11,0,1,0,0,0,0,0,36,1
762520206,nunez_lara,2012-08-16T23:15:06.000Z,False,338,427,19513,4,425,3926,94,205,5,0,147,0,0,48,0,0,43,0,0,7,0,245,0
788140748,casasolag,2012-08-29T00:07:41.000Z,False,4268,1861,32421,22,1123,1201166,799,9132,107,62,269,175,27,123,64,40,107,89,19,85,16,1076,1
91864511,by_abarca,2009-11-22T20:43:32.000Z,False,137,167,870,0,6,4872,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,10,1
93476447,resourcedepot,2009-11-29T20:49:54.000Z,False,1005,1289,2059,21,46,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,4,0
129654690,pereiragu,2010-04-05T01:06:33.000Z,False,104,1111,611,0,8,57,0,2,0,0,10,0,0,2,0,0,3,0,0,1,0,16,0
130862868,blop03,2010-04-08T15:11:49.000Z,False,148,375,6151,2,151,32127,78,102,0,35,83,13,6,14,0,14,46,12,1,3,0,227,1
1350576968635478017,GaryJos7,2021-01-16T22:53:48.000Z,False,3,87,9,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2,1
155383560,danzSTEP,2010-06-14T00:37:46.000Z,False,249,219,2846,7,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1048647463,kendall19_98,2012-12-30T19:25:46.000Z,False,89,123,1095,0,39,7294,10,13,0,6,19,2,1,3,0,2,11,2,1,1,0,48,1
1112635152,alexadms13,2013-01-22T21:10:04.000Z,False,419,172,788,3,5,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1166317682,ShakiiraB,2013-02-10T16:10:35.000Z,False,58,91,69,0,1,7,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2,1
3228274705,Rebe_R11,2015-05-27T13:24:14.000Z,False,89,390,2637,0,19,247,0,8,0,0,1,0,0,2,0,0,0,0,0,0,0,3,1
1526215040,xleonor98,2013-06-17T23:50:14.000Z,False,707,599,22379,1,325,2119506,61,199,1,3,180,1,2,176,0,1,12,1,1,44,0,421,1
1553286444,LindaWestonpdx,2013-06-28T15:06:46.000Z,False,1719,1215,43833,172,3184,10271549,300,7141,10,1,1444,0,1,680,0,0,458,0,0,139,0,2723,0
554504816,bunch_jason,2012-04-15T17:28:50.000Z,False,113,560,1464,2,16,0,0,3,0,0,17,0,0,0,0,0,1,0,0,0,0,18,0
391807089,qkmontoya,2011-10-16T04:05:05.000Z,False,157,839,1762,1,82,2979,46,331,17,14,46,15,5,8,6,7,24,6,2,5,4,142,1
66005040,ran_vega,2009-08-15T23:47:29.000Z,False,447,339,17648,6,33,12486,6,70,1,4,20,0,1,6,0,0,7,0,1,3,0,42,1
67440772,DeemBanton,2009-08-20T22:12:50.000Z,False,956,662,1063,0,46,3,3,7,5,0,4,0,0,0,0,0,5,0,0,1,0,10,0
87731813,MauSanchez007,2009-11-05T17:01:56.000Z,False,538,368,4824,1,92,159331,38,201,0,4,39,0,4,24,0,0,14,0,1,5,0,91,1
92676768,angelicasolera,2009-11-26T03:39:46.000Z,False,11,120,79,0,4,118,0,5,0,1,3,0,0,1,0,1,2,0,0,0,0,8,1
453138146,ACarbaja,2012-01-02T16:33:15.000Z,False,377,189,5959,0,139,66619,31,185,3,1,21,0,1,14,0,0,9,0,0,7,0,53,1
467113711,AndreaMeza76,2012-01-18T04:02:44.000Z,True,6490,1453,3783,54,201,13015,47,1478,23,14,147,42,5,77,16,1,15,3,2,18,6,346,1
782788790498701312,Jose_ec98,2016-10-03T03:46:05.000Z,False,181,152,1212,0,10,1935,0,5,0,1,2,0,0,1,0,1,0,0,0,2,0,7,1
252844291,pelutty,2011-02-16T01:18:54.000Z,False,26,384,213,0,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2,1
252870937,banconacionalcr,2011-02-16T02:38:13.000Z,True,73182,55449,97756,95,1092,147,355,1012,35,96,220,1,6,6,19,92,167,63,0,1,9,680,1
258141484,AleksCastillo11,2011-02-27T02:00:30.000Z,False,2789,936,4623,28,11,1679,0,1,0,0,6,0,0,5,0,0,0,0,0,0,0,11,0
2698617859,mua253,2014-08-01T15:59:00.000Z,False,409,335,26838,3,664,4139,190,554,3,35,84,21,1,6,1,33,61,20,0,0,1,263,1
2700872377,metromagazzin,2014-08-02T13:32:04.000Z,False,516,2209,41457,2,2634,69427,35,453,5,2,585,1,0,87,1,0,15,0,0,0,0,691,0
1223377275934126082,thisisjuanpad,2020-01-31T22:47:40.000Z,False,58,157,345,0,11,476,4,11,0,0,3,0,0,2,0,0,1,0,0,0,0,6,1
809410165,ranmurillo,2012-09-07T18:53:48.000Z,False,1416,1183,5447,5,22,229,25,268,4,2,9,12,0,4,5,1,3,7,0,0,0,43,1
823704931,JuanMa90_sg,2012-09-14T17:53:38.000Z,False,632,1195,8316,2,18,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1090398816,13549711,2013-01-14T23:01:00.000Z,False,9,60,132,0,47,4,4,30,0,9,13,1,0,1,1,5,10,0,0,0,0,40,1
1281944894,RichardEsNet,2013-03-20T01:00:25.000Z,False,164,166,6626,9,44,104932,2,2,0,0,5,0,0,5,0,0,1,0,0,1,0,12,0
136717878,vhann14,2010-04-24T18:20:17.000Z,False,518,773,4735,5,49,7551,2,12,0,1,21,0,0,16,0,1,6,0,0,3,0,48,1
140127869,TimmyTheTruth,2010-05-04T17:24:22.000Z,False,244,337,13403,3,289,383403,91,148,1,0,134,0,0,49,0,0,48,0,0,44,0,275,0
1351965428327862272,gabrielmarlin91,2021-01-20T18:51:01.000Z,False,13,102,431,0,62,156587,5,22,0,5,24,1,4,17,0,1,2,1,0,4,0,59,1
1127000310940143618,KevinFonsecaJi1,2019-05-10T23:59:47.000Z,False,41,113,2711,0,253,41174,54,125,5,16,74,5,3,18,0,9,39,4,5,36,0,209,1
2363706087,StanleyRicoR,2014-02-24T21:28:21.000Z,False,559,593,6550,0,2065,1240501,387,1262,9,1,532,0,0,93,0,0,369,0,0,119,0,1114,0
947163138839007234,fabian_cerdasr,2017-12-30T17:51:04.000Z,False,1441,676,16296,5,1040,270463,681,3568,19,3,344,3,0,95,2,1,174,1,2,80,0,705,1
2300368461,CeciRojasSal,2014-01-24T00:06:02.000Z,False,1458,656,4492,36,2,2,0,28,0,0,0,3,0,0,0,0,0,0,0,0,0,3,1
548690873,AnjandBunny,2012-04-08T20:21:46.000Z,False,606,1336,42,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
264252583,LEIVACR,2011-03-11T16:01:38.000Z,False,35,194,429,0,23,228900,0,1,0,2,13,0,1,11,0,0,4,0,0,0,0,31,1
1251180697613750275,PastorJuanMigu1,2020-04-17T16:08:46.000Z,False,2,90,79,0,1,19,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2,1
793600535085678592,PaitaOnLine,2016-11-01T23:48:06.000Z,False,42,135,1889,0,138,368292,25,55,1,0,132,1,0,11,1,0,53,0,0,15,1,214,0
